name,strasse,link,lat,long
Sophie Rosenthal,Falkertstr. 88,http://www.stolpersteine-stuttgart.de/index.php?docid=459&mid=66,48.78538,9.16011
Susanne Rosenthal,Werastr. 9,http://www.stolpersteine-stuttgart.de/index.php?docid=849&mid=66,48.7782169,9.1885697
Ada Gabriella Rothschild,Lenzhalde 84,http://www.stolpersteine-stuttgart.de/index.php?docid=414&mid=66,48.7875755,9.1536744
Friedrich Rothschild,Wildunger Str. 30,http://www.stolpersteine-cannstatt.de/node/143,48.8026622,9.223157200000001
Ida Rothschild,Badstr. 40,http://www.stolpersteine-cannstatt.de/node/102,48.8044642,9.212347399999999
Josef Rothschild,Wildunger Str. 30,http://www.stolpersteine-cannstatt.de/node/143,48.8026622,9.223157200000001
Karl-Bernhard Rothschild,Hohenstaufenstr. 19,http://www.stolpersteine-stuttgart.de/index.php?docid=319&mid=66,48.76621,9.1686
Martin Rothschild,Seelbergstr. 7,http://www.stolpersteine-cannstatt.de/node/155,48.80303,9.218169999999999
Max Rothschild,Seelbergstraße 7,http://www.stolpersteine-cannstatt.de/node/155,48.80303,9.218169999999999
Max Heinrich Rothschild,Badstr. 40,http://www.stolpersteine-cannstatt.de/node/102,48.8044642,9.212347399999999
Otto Rothschild,Gaisburgstr. 18,http://www.stolpersteine-stuttgart.de/index.php?docid=393&mid=66,48.77569,9.18844
Otto Rothschild,Hegelstr. 49,,48.7842966,9.1613698
Rosa Rothschild,Wildunger Straße 30,http://www.stolpersteine-cannstatt.de/node/143,48.8026622,9.223157200000001
Sara Rothschild,Taubenheimstr. 62,http://www.stolpersteine-cannstatt.de/node/141,48.8024,9.22902
Thekla Rothschild,Gaisburgstr. 18,http://www.stolpersteine-stuttgart.de/index.php?docid=393&mid=66,48.77569,9.18844
Wilhelm Rothschild,Martin-Luther-Straße 37,http://www.stolpersteine-cannstatt.de/node/13,48.80512,9.22421
Karl Ruggaber,Wiesbaderner Str. 26,http://www.stolpersteine-cannstatt.de/node/171,48.80565499999999,9.222539099999999
Frieda Rühlemann,Hohewartstr. 7,,48.8083063,9.156294299999999
Lore Ruisinger,Dachtlerstraße 5,,48.81723,9.11007
Karl Rumberger,Reinhold-Brändle-Weg 8,http://www.stolpersteine-stuttgart.de/index.php?docid=372&mid=66,48.8348017,9.1815847
Erich Ruthhardt,Ameisenbergstr. 24,http://www.stolpersteine-stuttgart.de/index.php?docid=729&mid=66,48.78416,9.197289999999999
Bernhardine Salomon,Traubergstr. 15,,48.7710738,9.1977501
Berta Franziska Sander,Vandalenstr. 23,http://www.stolpersteine-stuttgart.de/index.php?docid=351&mid=66,48.82808,9.17032
Ernst Sander,Rosenstr. 35,http://www.stolpersteine-stuttgart.de/index.php?docid=709&mid=66,48.77424,9.184339999999999
Rebekka Sander,Rosenstr. 35,http://www.stolpersteine-stuttgart.de/index.php?docid=709&mid=66,48.77424,9.184339999999999
Siegfried Sander,Vandalenstr. 23,http://www.stolpersteine-stuttgart.de/index.php?docid=351&mid=66,48.82808,9.17032
Girscha Schadchin,Schwarenbergstr. 14,http://www.stolpersteine-stuttgart.de/index.php?docid=553&mid=66,48.7899055,9.2033176
Sigmund Schadchin,Schwarenbergstr. 14,http://www.stolpersteine-stuttgart.de/index.php?docid=553&mid=66,48.7899055,9.2033176
Vera Rahel Schadchin,Schwarenbergstr. 14,http://www.stolpersteine-stuttgart.de/index.php?docid=553&mid=66,48.7899055,9.2033176
Adolf Schäfer,Elisabethenstraße 40,,48.77445669999999,9.154788199999999
Fritz Schäfer,Gartenstr.  48,,48.7341274,9.105699399999999
Lina Schäfer,Elisabethenstraße 40,,48.77445669999999,9.154788199999999
Karl Schedel,Talstr. 107,http://www.stolpersteine-stuttgart.de/index.php?docid=828&mid=66,48.8005629,9.1533623
Gitla Scher,Stöckachstr. 1,http://www.stolpersteine-stuttgart.de/index.php?docid=801&mid=66,48.7895796,9.1975724
Sonja Scher,Stöckachstr. 1,http://www.stolpersteine-stuttgart.de/index.php?docid=801&mid=66,48.7895796,9.1975724
Emma Scherrieble,Bludenzer Str. 41,,48.814471,9.164238899999999
Eugen Scheucher,Aachener Str. 5,http://www.stolpersteine-cannstatt.de/node/150,48.8065636,9.2105264
August  Schlienz,Untere Querstr. 9,,48.8085,9.16018
Bella Schloss,Urbanstr. 31C,http://www.stolpersteine-stuttgart.de/index.php?docid=635&mid=66,48.77903999999999,9.18681
Margit Schloss,Urbanstr. 31C,http://www.stolpersteine-stuttgart.de/index.php?docid=635&mid=66,48.77903999999999,9.18681
Henriette Schlossberger,Stitzenburgstr 9,http://www.stolpersteine-stuttgart.de/index.php?docid=662&mid=66,48.77036,9.18508
Karl Günther Schmidt,Bochumer Str. 9,http://www.stolpersteine-cannstatt.de/node/125,48.814787,9.2086235
Donatus Schneck,Stöckachstr. 28,,48.7907431,9.2001108
Gisela Schneck,Stöckachstr. 28,,48.7907431,9.2001108
Josef Schneck,Stöckachstr. 28,,48.7907431,9.2001108
Josef Maria Schneck,Stöckachstr. 28,,48.7907431,9.2001108
Pauline Schneck,Stöckachstr. 28,,48.7907431,9.2001108
Sofie Schneck,Stöckachstr. 28,,48.7907431,9.2001108
Pauline Schneider,Galvanistr. 15,http://www.stolpersteine-stuttgart.de/index.php?docid=460&mid=66,48.82717599999999,9.1657355
